GroupCode,MachCode,status,duration
D2                            ,37,True,0 days 11:27:10.000000000
D2                            ,38,False,0 days 01:54:01.000000000
D2                            ,38,True,0 days 11:24:04.000000000
D2                            ,39,False,0 days 02:11:41.000000000
D2                            ,39,True,0 days 11:13:04.000000000
D2                            ,40,False,0 days 05:52:38.000000000
D2                            ,40,True,0 days 06:04:33.000000000
D2                            ,41,False,0 days 06:18:36.000000000
D2                            ,41,True,0 days 07:09:28.000000000
D2                            ,42,False,0 days 03:06:44.000000000
D2                            ,42,True,0 days 09:14:40.000000000
D2                            ,43,False,0 days 01:08:40.000000000
D2                            ,43,True,0 days 11:45:09.000000000
D2                            ,44,False,0 days 02:56:02.000000000
D2                            ,44,True,0 days 09:36:46.000000000
D2                            ,45,False,0 days 00:59:51.000000000
D2                            ,45,True,0 days 11:00:08.000000000
D2                            ,46,False,0 days 01:45:40.000000000
D2                            ,46,True,0 days 11:51:29.000000000
D2                            ,47,False,0 days 01:44:28.000000000
D2                            ,47,True,0 days 11:34:38.000000000
D2                            ,48,False,0 days 01:29:51.000000000
D2                            ,48,True,0 days 12:26:17.000000000
D2                            ,49,False,0 days 00:48:07.000000000
D2                            ,49,True,0 days 10:59:54.000000000
D2                            ,50,False,0 days 02:32:50.000000000
D2                            ,50,True,0 days 10:04:27.000000000
D2                            ,51,False,0 days 00:27:20.000000000
D2                            ,51,True,0 days 05:14:59.000000000
D2                            ,52,False,0 days 01:17:02.000000000
D2                            ,52,True,0 days 10:22:38.000000000
D2                            ,53,False,0 days 00:32:12.000000000
D2                            ,53,True,0 days 10:50:52.000000000
D2                            ,54,False,0 days 03:35:10.000000000
D2                            ,54,True,0 days 07:14:15.000000000
D2                            ,55,False,0 days 04:03:48.000000000
D2                            ,55,True,0 days 07:45:40.000000000
D2                            ,56,False,0 days 05:30:55.000000000
D2                            ,56,True,0 days 06:16:55.000000000
D2                            ,57,False,0 days 03:18:46.000000000
D2                            ,57,True,0 days 07:30:06.000000000
D2                            ,58,False,0 days 05:02:50.000000000
D2                            ,58,True,0 days 06:34:55.000000000
D2                            ,59,False,0 days 03:50:28.000000000
D2                            ,59,True,0 days 07:50:15.000000000
D2                            ,60,False,0 days 03:27:52.000000000
D2                            ,60,True,0 days 08:11:43.000000000
D2                            ,61,False,0 days 03:41:44.000000000
D2                            ,61,True,0 days 07:57:31.000000000
D2                            ,62,False,0 days 03:30:38.000000000
D2                            ,62,True,0 days 07:43:40.000000000
D2                            ,63,False,0 days 03:32:40.000000000
D2                            ,63,True,0 days 07:59:55.000000000
D2                            ,64,False,0 days 03:55:44.000000000
D2                            ,64,True,0 days 08:03:22.000000000
E1                            ,1,False,0 days 05:23:35.000000000
E1                            ,1,True,0 days 08:23:00.000000000
E1                            ,2,False,0 days 04:10:35.000000000
E1                            ,2,True,0 days 08:22:18.000000000
E1                            ,3,False,0 days 03:53:59.000000000
E1                            ,3,True,0 days 08:47:41.000000000
E1                            ,4,False,0 days 05:52:12.000000000
